stream,site,site_id,taxon,total_count,count,phylum,class,order,family,genus,habit,FFG
mill_cr,abv_mineral_cr,MILaM,Ameletus,12640,16,Arthropod,Insecta,Ephemeroptera,Ameletidae,Ameletus,clinger,scraper
bear_cr,abv_mineral_cr,BEaM,Ameletus,2832,5,Arthropod,Insecta,Ephemeroptera,Ameletidae,Ameletus,clinger,scraper
sf_animas,abv_avalanche,SFAaAV,Ameletus,5384,16,Arthropod,Insecta,Ephemeroptera,Ameletidae,Ameletus,clinger,scraper
sf_animas,abv_eureka_gulch,SFAaEU,Ameletus,668,3,Arthropod,Insecta,Ephemeroptera,Ameletidae,Ameletus,clinger,scraper
eureka_gulch,abv_sf_animas,EUaSFA,Ameletus,622,1,Arthropod,Insecta,Ephemeroptera,Ameletidae,Ameletus,clinger,scraper
sf_animas,abv_animas,SFAaA,Ameletus,1437,5,Arthropod,Insecta,Ephemeroptera,Ameletidae,Ameletus,clinger,scraper
hermosa_cr,abv_ditch,HERaD,Ameletus,1768,6,Arthropod,Insecta,Ephemeroptera,Ameletidae,Ameletus,clinger,scraper
wf_animas,abv_placer_gulch,WFAaPL,Amphinemura,40,2,Arthropod,Insecta,Plecoptera,Nemouridae,Amphinemura,sprawler,shredder
hermosa_cr,abv_ditch,HERaD,Antocha,1768,35,Arthropod,Insecta,Diptera,Tipulidae,Antocha,burrower,predator
mineral_cr,abv_mill_cr,MaMIL,Arctopsyche,397,5,Arthropod,Insecta,Trichoptera,Hydropsychidae,NA,clinger,filterer
mineral_cr,abv_mf_mineral,MaMFM,Arctopsyche,120,20,Arthropod,Insecta,Trichoptera,Hydropsychidae,NA,clinger,filterer
bear_cr,abv_mineral_cr,BEaM,Arctopsyche,2832,5,Arthropod,Insecta,Trichoptera,Hydropsychidae,NA,clinger,filterer
mineral_cr,abv_animas,MaA,Arctopsyche,180,16,Arthropod,Insecta,Trichoptera,Hydropsychidae,NA,clinger,filterer
nf_animas,abv_burrow_cr,NFAaBU,Arctopsyche,1419,48,Arthropod,Insecta,Trichoptera,Hydropsychidae,NA,clinger,filterer
picayne_gulch,abv_animas,PICaA,Arctopsyche,7127,38,Arthropod,Insecta,Trichoptera,Hydropsychidae,NA,clinger,filterer
animas,abv_eureka,AaEU,Arctopsyche,260,110,Arthropod,Insecta,Trichoptera,Hydropsychidae,NA,clinger,filterer
eureka_gulch,abv_sf_animas,EUaSFA,Arctopsyche,622,5,Arthropod,Insecta,Trichoptera,Hydropsychidae,NA,clinger,filterer
sf_animas,abv_animas,SFAaA,Arctopsyche,1437,8,Arthropod,Insecta,Trichoptera,Hydropsychidae,NA,clinger,filterer
animas,abv_minnie,AaMINN,Arctopsyche,575,90,Arthropod,Insecta,Trichoptera,Hydropsychidae,NA,clinger,filterer
maggie_gulch,abv_animas,MAGaA,Arctopsyche,11952,32,Arthropod,Insecta,Trichoptera,Hydropsychidae,NA,clinger,filterer
animas,abv_cunningham,AaCU,Arctopsyche,2715,32,Arthropod,Insecta,Trichoptera,Hydropsychidae,NA,clinger,filterer
animas,abv_arrastra_cr,AaARR,Arctopsyche,2028,172,Arthropod,Insecta,Trichoptera,Hydropsychidae,NA,clinger,filterer
hermosa_cr,abv_ditch,HERaD,Arctopsyche,1768,32,Arthropod,Insecta,Trichoptera,Hydropsychidae,NA,clinger,filterer
wf_animas,abv_placer_gulch,WFAaPL,Arrenurus,40,1,Arthropod,Arachnida,Trombidiformes,Arrenuridae,Arrenurus,NA,NA
mineral_cr,abv_mill_cr,MaMIL,Baetis,397,1,Arthropod,Insecta,Ephemeroptera,Baetidae,Baetis,swimmer,collector
mill_cr,abv_mineral_cr,MILaM,Baetis,12640,128,Arthropod,Insecta,Ephemeroptera,Baetidae,Baetis,swimmer,collector
mineral_cr,abv_mf_mineral,MaMFM,Baetis,120,1,Arthropod,Insecta,Ephemeroptera,Baetidae,Baetis,swimmer,collector
sf_mineral_cr,abv_mineral_cr,SFMaM,Baetis,510,4,Arthropod,Insecta,Ephemeroptera,Baetidae,Baetis,swimmer,collector
bear_cr,abv_mineral_cr,BEaM,Baetis,2832,5,Arthropod,Insecta,Ephemeroptera,Baetidae,Baetis,swimmer,collector
picayne_gulch,abv_animas,PICaA,Baetis,7127,102,Arthropod,Insecta,Ephemeroptera,Baetidae,Baetis,swimmer,collector
sf_animas,abv_avalanche,SFAaAV,Baetis,5384,16,Arthropod,Insecta,Ephemeroptera,Baetidae,Baetis,swimmer,collector
eureka_gulch,abv_sf_animas,EUaSFA,Baetis,622,1,Arthropod,Insecta,Ephemeroptera,Baetidae,Baetis,swimmer,collector
sf_animas,abv_animas,SFAaA,Baetis,1437,11,Arthropod,Insecta,Ephemeroptera,Baetidae,Baetis,swimmer,collector
maggie_gulch,abv_animas,MAGaA,Baetis,11952,96,Arthropod,Insecta,Ephemeroptera,Baetidae,Baetis,swimmer,collector
animas,abv_cunningham,AaCU,Baetis,2715,53,Arthropod,Insecta,Ephemeroptera,Baetidae,Baetis,swimmer,collector
animas,abv_arrastra_cr,AaARR,Baetis,2028,64,Arthropod,Insecta,Ephemeroptera,Baetidae,Baetis,swimmer,collector
hermosa_cr,abv_ditch,HERaD,Baetis,1768,730,Arthropod,Insecta,Ephemeroptera,Baetidae,Baetis,swimmer,collector
mineral_cr,abv_mill_cr,MaMIL,Bezzia_palpomyia,397,24,Arthropod,Insecta,Diptera,Ceratopogonidae,Bezzia_palpomyia,sprawler,predator
mineral_cr,abv_mf_mineral,MaMFM,Bezzia_palpomyia,120,2,Arthropod,Insecta,Diptera,Ceratopogonidae,Bezzia_palpomyia,sprawler,predator
mf_mineral_cr,abv_mineral_cr,MFMaM,Bezzia_palpomyia,47,1,Arthropod,Insecta,Diptera,Ceratopogonidae,Bezzia_palpomyia,sprawler,predator
mineral_cr,abv_sf_mineral,MaSFM,Bezzia_palpomyia,90,2,Arthropod,Insecta,Diptera,Ceratopogonidae,Bezzia_palpomyia,sprawler,predator
sf_mineral_cr,abv_mineral_cr,SFMaM,Bezzia_palpomyia,510,13,Arthropod,Insecta,Diptera,Ceratopogonidae,Bezzia_palpomyia,sprawler,predator
mineral_cr,abv_animas,MaA,Bezzia_palpomyia,180,7,Arthropod,Insecta,Diptera,Ceratopogonidae,Bezzia_palpomyia,sprawler,predator
eureka_gulch,abv_sf_animas,EUaSFA,Bezzia_palpomyia,622,1,Arthropod,Insecta,Diptera,Ceratopogonidae,Bezzia_palpomyia,sprawler,predator
sf_animas,abv_animas,SFAaA,Bezzia_palpomyia,1437,5,Arthropod,Insecta,Diptera,Ceratopogonidae,Bezzia_palpomyia,sprawler,predator
animas,abv_minnie,AaMINN,Bezzia_palpomyia,575,22,Arthropod,Insecta,Diptera,Ceratopogonidae,Bezzia_palpomyia,sprawler,predator
maggie_gulch,abv_animas,MAGaA,Bezzia_palpomyia,11952,32,Arthropod,Insecta,Diptera,Ceratopogonidae,Bezzia_palpomyia,sprawler,predator
animas,abv_cunningham,AaCU,Bezzia_palpomyia,2715,123,Arthropod,Insecta,Diptera,Ceratopogonidae,Bezzia_palpomyia,sprawler,predator
animas,abv_arrastra_cr,AaARR,Bezzia_palpomyia,2028,16,Arthropod,Insecta,Diptera,Ceratopogonidae,Bezzia_palpomyia,sprawler,predator
mineral_cr,abv_mill_cr,MaMIL,Brachycentrus,397,1,Arthropod,Insecta,Trichoptera,Brachycentridae,Brachycentrus,clinger,filterer
nf_animas,abv_burrow_cr,NFAaBU,Brilla,1419,5,Arthropod,Insecta,Diptera,Chironomidae,Brilla,burrower,collector
sf_animas,abv_avalanche,SFAaAV,Brilla,5384,8,Arthropod,Insecta,Diptera,Chironomidae,Brilla,burrower,collector
sf_animas,abv_eureka_gulch,SFAaEU,Brilla,668,8,Arthropod,Insecta,Diptera,Chironomidae,Brilla,burrower,collector
sf_animas,abv_animas,SFAaA,Brilla,1437,5,Arthropod,Insecta,Diptera,Chironomidae,Brilla,burrower,collector
maggie_gulch,abv_animas,MAGaA,Brilla,11952,32,Arthropod,Insecta,Diptera,Chironomidae,Brilla,burrower,collector
mineral_cr,abv_mill_cr,MaMIL,Brillia,397,3,Arthropod,Insecta,Diptera,Chironomidae,Brillia,burrower,collector
mill_cr,abv_mineral_cr,MILaM,Brillia,12640,16,Arthropod,Insecta,Diptera,Chironomidae,Brillia,burrower,collector
mf_mineral_cr,abv_mineral_cr,MFMaM,Brillia,47,3,Arthropod,Insecta,Diptera,Chironomidae,Brillia,burrower,collector
mineral_cr,abv_sf_mineral,MaSFM,Brillia,90,6,Arthropod,Insecta,Diptera,Chironomidae,Brillia,burrower,collector
bear_cr,abv_mineral_cr,BEaM,Brillia,2832,16,Arthropod,Insecta,Diptera,Chironomidae,Brillia,burrower,collector
mineral_cr,abv_animas,MaA,Brillia,180,1,Arthropod,Insecta,Diptera,Chironomidae,Brillia,burrower,collector
mill_cr,abv_mineral_cr,MILaM,Capnia,12640,160,Arthropod,Insecta,Plecoptera,Capniidae,Capnia,sprawler,shredder
mineral_cr,abv_mf_mineral,MaMFM,Capnia,120,1,Arthropod,Insecta,Plecoptera,Capniidae,Capnia,sprawler,shredder
mf_mineral_cr,abv_mineral_cr,MFMaM,Capnia,47,1,Arthropod,Insecta,Plecoptera,Capniidae,Capnia,sprawler,shredder
sf_mineral_cr,abv_mineral_cr,SFMaM,Capnia,510,1,Arthropod,Insecta,Plecoptera,Capniidae,Capnia,sprawler,shredder
nf_animas,abv_wf_animas,NFAaWFA,Capnia,12,1,Arthropod,Insecta,Plecoptera,Capniidae,Capnia,sprawler,shredder
wf_animas,abv_placer_gulch,WFAaPL,Capnia,40,11,Arthropod,Insecta,Plecoptera,Capniidae,Capnia,sprawler,shredder
wf_animas,abv_animas,WFAaA,Capnia,12,3,Arthropod,Insecta,Plecoptera,Capniidae,Capnia,sprawler,shredder
sf_animas,abv_avalanche,SFAaAV,Capnia,5384,216,Arthropod,Insecta,Plecoptera,Capniidae,Capnia,sprawler,shredder
burrow_cr,abv_nf_animas,BUaNFA,Capniidae,1163,5,Arthropod,Insecta,Plecoptera,Capniidae,NA,sprawler,shredder
animas,abv_cunningham,AaCU,Capniidae,2715,32,Arthropod,Insecta,Plecoptera,Capniidae,NA,sprawler,shredder
animas,abv_arrastra_cr,AaARR,Capniidae,2028,52,Arthropod,Insecta,Plecoptera,Capniidae,NA,sprawler,shredder
mineral_cr,abv_mill_cr,MaMIL,Chaetocladius,397,7,Arthropod,Insecta,Diptera,Chironomidae,Chaetocladius,burrower,collector
mill_cr,abv_mineral_cr,MILaM,Chaetocladius,12640,32,Arthropod,Insecta,Diptera,Chironomidae,Chaetocladius,burrower,collector
mineral_cr,abv_mf_mineral,MaMFM,Chaetocladius,120,1,Arthropod,Insecta,Diptera,Chironomidae,Chaetocladius,burrower,collector
mf_mineral_cr,abv_mineral_cr,MFMaM,Chaetocladius,47,22,Arthropod,Insecta,Diptera,Chironomidae,Chaetocladius,burrower,collector
mineral_cr,abv_sf_mineral,MaSFM,Chaetocladius,90,51,Arthropod,Insecta,Diptera,Chironomidae,Chaetocladius,burrower,collector
sf_mineral_cr,abv_mineral_cr,SFMaM,Chaetocladius,510,6,Arthropod,Insecta,Diptera,Chironomidae,Chaetocladius,burrower,collector
mineral_cr,abv_animas,MaA,Chaetocladius,180,5,Arthropod,Insecta,Diptera,Chironomidae,Chaetocladius,burrower,collector
