taxon,phylum,class,order,family,genus,habit,FFG,sensitive_taxa,bio2_sensitive
Ameletus,Arthropod,Insecta,Ephemeroptera,Ameletidae,Ameletus,clinger,scraper,TRUE,TRUE
Antocha,Arthropod,Insecta,Diptera,Tipulidae,Antocha,burrower,predator,FALSE,FALSE
Arctopsyche,Arthropod,Insecta,Trichoptera,Hydropsychidae,,clinger,filterer,FALSE,FALSE
Arctopsyche_grandis,Arthropod,Insecta,Trichoptera,Hydropsychidae,,clinger,filterer,FALSE,FALSE
Atherix,Arthropod,Insecta,Diptera,Athericidae,Atherix,sprawler,predator,FALSE,FALSE
Protiza,Arthropod,Arachnida,Trombidiformes,Hydryphantoidea,Protiza,NA,NA,FALSE,FALSE
Atractides,Arthropod,Arachnida,Trombidiformes,Hygrobatidae,Atractides,NA,NA,FALSE,FALSE
Baetis,Arthropod,Insecta,Ephemeroptera,Baetidae,Baetis,swimmer,collector,FALSE,FALSE
Bezzia_palpomyia,Arthropod,Insecta,Diptera,Ceratopogonidae,Bezzia_palpomyia,sprawler,predator,FALSE,FALSE
Bibiocephala,Arthropod,Insecta,Diptera,Blephariceridae,Bibiocephala,clinger,scraper,FALSE,FALSE
Brachycentrus,Arthropod,Insecta,Trichoptera,Brachycentridae,Brachycentrus,clinger,filterer,FALSE,FALSE
Brillia,Arthropod,Insecta,Diptera,Chironomidae,Brillia,burrower,collector,FALSE,FALSE
Capniidae,Arthropod,Insecta,Plecoptera,Capniidae,,sprawler,shredder,FALSE,FALSE
Capnia,Arthropod,Insecta,Plecoptera,Capniidae,Capnia,sprawler,shredder,FALSE,FALSE
Chaetocladius,Arthropod,Insecta,Diptera,Chironomidae,Chaetocladius,burrower,collector,FALSE,FALSE
Chelifera,Arthropod,Insecta,Diptera,Empididae,Chelifera,burrower,collector,FALSE,FALSE
Cheumatopsyche,Arthropod,Insecta,Trichoptera,Hydropsychidae,,clinger,filterer,FALSE,FALSE
Pseudodiamesa,Arthropod,Insecta,Diptera,Chironomidae,Pseudodiamesa,burrower,collector,FALSE,FALSE
Chironomidae,Arthropod,Insecta,Diptera,Chironomidae,,burrower,collector,FALSE,FALSE
Chloroperlidae,Arthropod,Insecta,Plecoptera,Chloroperlidae,,clinger,predator,TRUE,TRUE
Cinygmula,Arthropod,Insecta,Ephemeroptera,Heptageniidae,Cinygmula,clinger,scraper,TRUE,TRUE
Clinocera,Arthropod,Insecta,Diptera,Empididae,Clinocera,sprawler,predator,FALSE,FALSE
Parochlus,Arthropod,Insecta,Diptera,Chironomidae,Parochlus,burrower,collector,FALSE,FALSE
Parametriocnemus,Arthropod,Insecta,Diptera,Chironomidae,Parametriocnemus,burrower,collector,FALSE,FALSE
Cricotopus_orthocladius,Arthropod,Insecta,Diptera,Chironomidae,Cricotopus,burrower,collector,FALSE,FALSE
Cricotopus_Orthocladius,Arthropod,Insecta,Diptera,Chironomidae,Cricotopus,burrower,collector,FALSE,FALSE
Diamesa,Arthropod,Insecta,Diptera,Chironomidae,Diamesa,burrower,collector,FALSE,FALSE
Dicranota,Arthropod,Insecta,Diptera,Chironomidae,Dicranota,burrower,collector,TRUE,TRUE
Ephemerellidae,Arthropod,Insecta,Ephemeroptera,Ephemerellidae,,clinger,scraper,TRUE,TRUE
Drunella,Arthropod,Insecta,Ephemeroptera,Ephemerellidae,Drunella,clinger,scraper,TRUE,TRUE
Drunella_coloradensis,Arthropod,Insecta,Ephemeroptera,Ephemerellidae,Drunella,clinger,scraper,TRUE,TRUE
Drunella_doddsii,Arthropod,Insecta,Ephemeroptera,Ephemerellidae,Drunella,clinger,scraper,TRUE,TRUE
Drunella_grandis,Arthropod,Insecta,Ephemeroptera,Ephemerellidae,Drunella,clinger,scraper,TRUE,TRUE
Elmidae,Arthropod,Insecta,Coleoptera,Elmidae,,clinger,collector,TRUE,TRUE
Empididae,Arthropod,Insecta,Diptera,Empididae,,sprawler,predator,FALSE,FALSE
Epeorus,Arthropod,Insecta,Ephemeroptera,Heptageniidae,Epeorus,clinger,scraper,TRUE,TRUE
Ephemerella,Arthropod,Insecta,Ephemeroptera,Ephemerellidae,Ephemerella,clinger,collector,TRUE,TRUE
Eukiefferiella,Arthropod,Insecta,Diptera,Chironomidae,Eukiefferella,burrower,collector,FALSE,FALSE
Eukiefferiella_brehmi,Arthropod,Insecta,Diptera,Chironomidae,Eukiefferella,burrower,collector,FALSE,FALSE
Eukiefferiella_claripennis,Arthropod,Insecta,Diptera,Chironomidae,Eukiefferella,burrower,collector,FALSE,FALSE
Nanocladius_parvulus,Arthropod,Insecta,Diptera,Chironomidae,Nanocladius_parvulus,burrower,collector,FALSE,FALSE
Microspectra,Arthropod,Insecta,Diptera,Chironomidae,Microspectra,burrower,collector,FALSE,FALSE
Krenosmittia,Arthropod,Insecta,Diptera,Chironomidae,Krenosmittia,burrower,collector,FALSE,FALSE
Hydrobaenus,Arthropod,Insecta,Diptera,Chironomidae,Hydrobaenus,burrower,collector,FALSE,FALSE
Eukiefferiella_devonica,Arthropod,Insecta,Diptera,Chironomidae,Eukiefferella,burrower,collector,FALSE,FALSE
Rheotanytarsus,Arthropod,Insecta,Diptera,Chironomidae,Rheotanytarsus,burrower,collector,FALSE,FALSE
Eukiefferiella_gracei,Arthropod,Insecta,Diptera,Chironomidae,Eukiefferella,burrower,collector,FALSE,FALSE
Feltria,Arthropod,Arachnida,Trombidiformes,Feltriidae,Feltria,NA,NA,FALSE,FALSE
Heleniella,Arthropod,Insecta,Diptera,Chironomidae,Heleniella,burrower,collector,FALSE,FALSE
Heptageniidae,Arthropod,Insecta,Ephemeroptera,Heptageniidae,,clinger,scraper,TRUE,TRUE
Hesperoperla,Arthropod,Insecta,Plecoptera,Perlidae,Hesperoperla,clinger,predator,TRUE,TRUE
Hydrophilidae,Arthropod,Insecta,Coleoptera,Hydrophilidae,,climber,predator,FALSE,FALSE
Optioservus,Arthropod,Insecta,Coleoptera,Elmidae,Optioservus,clinger,collector,TRUE,TRUE
Zaitzevia,Arthropod,Insecta,Coleoptera,Elmidae,Zaitzevia,clinger,collector,TRUE,TRUE
Heterlimnius,Arthropod,Insecta,Coleoptera,Elmidae,Heterlimnius,clinger,collector,TRUE,TRUE
Heterotrissocladius_marcidus,Arthropod,Insecta,Diptera,Chironomidae,Heterotrissocladius_marcidus,burrower,collector,FALSE,FALSE
Dixa,Arthropod,Insecta,Diptera,Dixidae,Dixa ,swimmer,collector,FALSE,FALSE
Hexatoma,Arthropod,Insecta,Diptera,Tipulidae,Hexatoma,burrower,predator,FALSE,FALSE
Hydropsyche,Arthropod,Insecta,Trichoptera,Hydropsychidae,,clinger,filterer,FALSE,FALSE
Hydropsychidae,Arthropod,Insecta,Trichoptera,Hydropsychidae,,clinger,filterer,FALSE,FALSE
Perlinodes_aurea,Arthropod,Insecta,Plecoptera,Perlodidae,Perlinodes,clinger,predator,TRUE,TRUE
Isoperla,Arthropod,Insecta,Plecoptera,Perlodidae,Isoperla,clinger,predator,TRUE,TRUE
Arrenurus,Arthropod,Arachnida,Trombidiformes,Arrenuridae,Arrenurus,NA,NA,FALSE,FALSE
Hydracarina,Arthropod,Arachnida,Trombidiformes,,,NA,NA,FALSE,FALSE
Aturus,Arthropod,Arachnida,Trombidiformes,Lebertiidae,Aturus,NA,NA,FALSE,FALSE
Lebertia,Arthropod,Arachnida,Trombidiformes,Lebertiidae,Lebertia,NA,NA,FALSE,FALSE
Lepidostoma,Arthropod,Insecta,Trichoptera,Lepidostomatidae,Lepidostoma,clinger,shredder,TRUE,FALSE
Psychoronia,Arthropod,Insecta,Trichoptera,Limnephilidae,Psychoronia,clinger,collector,FALSE,FALSE
Ecclisomyia,Arthropod,Insecta,Trichoptera,Limnephilidae,Ecclisomyia,clinger,collector,FALSE,FALSE
Dicosmoecus,Arthropod,Insecta,Trichoptera,Limnephilidae,Dicosmoecus,clinger,collector,FALSE,FALSE
Psychoglypha,Arthropod,Insecta,Trichoptera,Limnephilidae,Psychoglypha,clinger,collector,FALSE,FALSE
Hesperophylax,Arthropod,Insecta,Trichoptera,Limnephilidae,Hesperophylax,clinger,collector,FALSE,FALSE
Limnephilidae,Arthropod,Insecta,Trichoptera,Limnephilidae,,clinger,collector,FALSE,FALSE
Megarcys,Arthropod,Insecta,Plecoptera,Perlodidae,Megarcys,clinger,predator,TRUE,TRUE
Thienemanniella_xena,Arthropod,Insecta,Diptera,Chironomidae,Thienemanniella,burrower,collector,FALSE,FALSE
Thiennemannimyia,Arthropod,Insecta,Diptera,Chironomidae,Thiennemannimyia,burrower,collector,FALSE,FALSE
Tanypodinae,Arthropod,Insecta,Diptera,Chironomidae,,burrower,collector,FALSE,FALSE
Brilla,Arthropod,Insecta,Diptera,Chironomidae,Brilla,burrower,collector,FALSE,FALSE
Micropsectra,Arthropod,Insecta,Diptera,Chironomidae,Micropsectra,burrower,collector,FALSE,FALSE
Nematoda,Nematoda,,,,,NA,NA,FALSE,FALSE
Podmosta,Arthropod,Insecta,Plecoptera,Nemouridae,Podmosta,sprawler,shredder,TRUE,TRUE
Nemouridae,Arthropod,Insecta,Plecoptera,Nemouridae,,sprawler,shredder,TRUE,TRUE
Nemouridae_(not_zapada),Arthropod,Insecta,Plecoptera,Nemouridae,,sprawler,shredder,TRUE,TRUE
Oreogeton,Arthropod,Insecta,Diptera,Empididae,Oreogeton,sprawler,predator,FALSE,FALSE
Neoplasta,Arthropod,Insecta,Diptera,Empididae,Neoplasta,sprawler,predator,FALSE,FALSE
Oligochaeta,Annelida,Oligochaeta,,,,burrower,collector,FALSE,FALSE
Ostracoda,Arthropod,Ostracoda,,,,NA,NA,FALSE,FALSE
Pagastia,Arthropod,Insecta,Diptera,Chironomidae,Pagastia,burrower,collector,FALSE,FALSE
Perlodidae,Arthropod,Insecta,Plecoptera,Perlodidae,,clinger,predator,TRUE,TRUE
Petrophila,Arthropod,Insecta,Lepidoptera,Crambidae,Petrophila,NA,NA,FALSE,FALSE
Philopotamidae,Arthropod,Insecta,Trichoptera,Philopotamidae,,clinger,filterer,FALSE,FALSE
Polycelis,Platyhelminthes,,Tricladida,Planariidae,Polycelis,NA,NA,FALSE,FALSE
Polypedilum_aviceps,Arthropod,Insecta,Diptera,Chironomidae,Polypedilum,burrower,collector,FALSE,FALSE
Probezzia,Arthropod,Insecta,Diptera,Ceratopogonidae,Probezzia,sprawler,predator,FALSE,FALSE
Prosimulium,Arthropod,Insecta,Diptera,Simuliidae,Prosimulium,clinger,filterer,FALSE,FALSE
Pteronarcella,Arthropod,Insecta,Plecoptera,Pteronarcyidae,Pteronarcys,clinger,shredder,TRUE,FALSE
Pteronarcys,Arthropod,Insecta,Plecoptera,Pteronarcyidae,Pteronarcys,clinger,shredder,TRUE,FALSE
Rhithrogena,Arthropod,Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,clinger,scraper,TRUE,TRUE
Rhyacophila,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator,TRUE,TRUE
Rhyacophila_nevadensis,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator,TRUE,TRUE
Rhyacophila_angelita,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator,TRUE,TRUE
Rhyacophila_brunnea,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator,TRUE,TRUE
Rhyacophila_coloradensis,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator,TRUE,TRUE
Rhyacophila_hyalinata,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator,TRUE,TRUE
Rhyacophila_sibrica,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator,TRUE,TRUE
Rhyacophila_sibirica_atrata,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator,TRUE,TRUE
Rhyacophila_sibirica,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator,TRUE,TRUE
Rhyacophila_sibrica_atrata,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator,TRUE,TRUE
Rhyacophila_vofixa,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator,TRUE,TRUE
Simuliidae,Arthropod,Insecta,Diptera,Simuliidae,,clinger,filterer,FALSE,FALSE
Simulium,Arthropod,Insecta,Diptera,Simuliidae,Simulium,clinger,filterer,FALSE,FALSE
Skwala,Arthropod,Insecta,Plecoptera,Perlodidae,Skwala,clinger,predator,TRUE,TRUE
Sperchon,Arthropod,Arachnida,Trombidiformes,Sperchonidae,Sperchon,NA,NA,FALSE,FALSE
Suwalia,Arthropod,Insecta,Plecoptera,Chloroperlidae,Suwalia,clinger,predator,TRUE,TRUE
Suwallia,Arthropod,Insecta,Plecoptera,Chloroperlidae,Suwallia,clinger,predator,TRUE,TRUE
Sweltsa,Arthropod,Insecta,Plecoptera,Chloroperlidae,Sweltsa,clinger,predator,TRUE,TRUE
Taenionema,Arthropod,Insecta,Plecoptera,Taeniopterygidae,Taenionema,sprawler,shredder,FALSE,FALSE
Tanytarsus,Arthropod,Insecta,Diptera,Chironomidae,Tanytarsus,sprawler,predator,FALSE,FALSE
Ormosia,Arthropod,Insecta,Diptera,Tipulidae,Ormosia,burrower,predator,FALSE,FALSE
Tipula,Arthropod,Insecta,Diptera,Tipulidae,Tipula,burrower,predator,FALSE,FALSE
Tipulidae,Arthropod,Insecta,Diptera,Tipulidae,,burrower,predator,FALSE,FALSE
Torrenticola,Arthropod,Arachnida,Trombidiformes,Torrenticolidae,Torrenticola,NA,NA,FALSE,FALSE
Tricorythodes,Arthropod,Insecta,Ephemeroptera,Leptohyphidae,Tricorythodes,sprawler,collector,FALSE,FALSE
Turbellaria,Platyhelminthes,Turbellaria,,,,NA,NA,FALSE,FALSE
Virgatanytarsus,Arthropod,Insecta,Diptera,Chironomidae,Virgatanytarsus,burrower,collector,FALSE,FALSE
Tvetenia,Arthropod,Insecta,Diptera,Chironomidae,Tvetenia,burrower,collector,FALSE,FALSE
Tvetenia_bavarica,Arthropod,Insecta,Diptera,Chironomidae,Tvetenia,burrower,collector,FALSE,FALSE
Tvetenia_discoloripes,Arthropod,Insecta,Diptera,Chironomidae,Tvetenia,burrower,collector,FALSE,FALSE
Wiedemannia,Arthropod,Insecta,Diptera,Empididae,Wiedemannia,sprawler,predator,FALSE,FALSE
Zapada,Arthropod,Insecta,Plecoptera,Nemouridae,Zapada,sprawler,shredder,TRUE,TRUE
Mucronothrus,Arthropod,Arachnida,Sarcoptiformes,Trhypochthoniidae,Mucronothrus,NA,NA,FALSE,FALSE
Paraleuctra,Arthropod,Insecta,Plecoptera,Leuctridae,Paraleuctra,sprawler,shredder,FALSE,FALSE
Amphinemura,Arthropod,Insecta,Plecoptera,Nemouridae,Amphinemura,sprawler,shredder,TRUE,TRUE
Dytiscidae,Arthropod,Insecta,Coleoptera,Dytiscidae,,swimmer,predator,FALSE,FALSE
Neophylax,Arthropod,Insecta,Trichoptera,Uenoidae,Neophylax,clinger,scraper,FALSE,FALSE
