stream,site,id,class,order,family,taxon,count,date,total_count,fraction_processed,area_sampled
mill_cr,abv_mineral_cr,MILaM,insecta,ephemeroptera,ameletidae,ameletus,1,10/17/2016,790,6.25,1.15
bear_cr,abv_mineral_cr,BEaM,insecta,ephemeroptera,ameletidae,ameletus,1,10/12/2016,531,18.75,1.15
sf_animas,abv_avalanche,SFAaAV,insecta,ephemeroptera,ameletidae,ameletus,2,10/8/2016,673,12.5,1.15
sf_animas,abv_eureka_gulch,SFAaEU,insecta,ephemeroptera,ameletidae,ameletus,2,10/8/2016,501,75,1.15
eureka_gulch,abv_sf_animas,EUaSFA,insecta,ephemeroptera,ameletidae,ameletus,1,10/6/2016,547,88,1.15
sf_animas,abv_animas,SFAaA,insecta,ephemeroptera,ameletidae,ameletus,2,10/6/2016,539,37.5,1.15
hermosa_cr,abv_ditch,HERaD,insecta,ephemeroptera,ameletidae,ameletus,2,9/30/2016,557,31.5,1.15
sf_mineral_cr,blw_cg_blw_clear_lake_cr,,insecta,plecoptera,nemouridae,amphinemura,3,10/13/2016,285,100,1.15
wf_animas,abv_placer_gulch,WFAaPL,insecta,plecoptera,nemouridae,amphinemura,2,10/10/2016,40,100,1.15
hermosa_cr,abv_ditch,HERaD,insecta,diptera,tipulidae,antocha,11,9/30/2016,557,31.5,1.15
mineral_cr,abv_mill_cr,MaMIL,insecta,trichoptera,hydropsychidae,arctopsyche,5,10/17/2016,397,100,1.15
mineral_cr,abv_browns_gulch,,insecta,trichoptera,hydropsychidae,arctopsyche,11,10/17/2016,576,18.75,1.15
mineral_cr,abv_mf_mineral,MaMFM,insecta,trichoptera,hydropsychidae,arctopsyche,20,10/14/2016,120,100,1.15
sf_mineral_cr,blw_cg_blw_clear_lake_cr,,insecta,trichoptera,hydropsychidae,arctopsyche,10,10/13/2016,285,100,1.15
bear_cr,abv_mineral_cr,BEaM,insecta,trichoptera,hydropsychidae,arctopsyche,1,10/12/2016,531,18.75,1.15
mineral_cr,abv_animas,MaA,insecta,trichoptera,hydropsychidae,arctopsyche,16,10/12/2016,180,100,1.15
nf_animas,abv_burrow_cr,NFAaBU,insecta,trichoptera,hydropsychidae,arctopsyche,18,10/7/2016,532,37.5,1.15
picayne_gulch,abv_animas,PICaA,insecta,trichoptera,hydropsychidae,arctopsyche,3,10/5/2016,557,7.815,1.15
animas,abv_eureka,AaEU,insecta,trichoptera,hydropsychidae,arctopsyche,110,10/11/2016,260,100,1.15
eureka_gulch,abv_sf_animas,EUaSFA,insecta,trichoptera,hydropsychidae,arctopsyche,4,10/6/2016,547,88,1.15
sf_animas,abv_animas,SFAaA,insecta,trichoptera,hydropsychidae,arctopsyche,3,10/6/2016,539,37.5,1.15
animas,abv_minnie,AaMINN,insecta,trichoptera,hydropsychidae,arctopsyche,79,10/11/2016,503,87.5,1.15
maggie_gulch,abv_animas,MAGaA,insecta,trichoptera,hydropsychidae,arctopsyche,2,10/4/2016,747,6.25,1.15
animas,abv_cunningham,AaCU,insecta,trichoptera,hydropsychidae,arctopsyche,6,10/4/2016,509,18.75,1.15
picayne_gulch,abv_animas,,insecta,trichoptera,hydropsychidae,arctopsyche,12,10/4/2016,602,12.5,1.15
animas,abv_arrastra_cr,AaARR,insecta,trichoptera,hydropsychidae,arctopsyche,43,10/2/2016,507,25,1.15
hermosa_cr,abv_ditch,HERaD,insecta,trichoptera,hydropsychidae,arctopsyche,10,9/30/2016,557,31.5,1.15
wf_animas,abv_placer_gulch,WFAaPL,arachnida,trombidiformes,arrenuridae,arrenurus,1,10/10/2016,40,100,1.15
mineral_cr,abv_browns_gulch,,arachnida,trombidiformes,atruidae,aturus,1,10/17/2016,576,18.75,1.15
mineral_cr,abv_mill_cr,MaMIL,insecta,ephemeroptera,baetidae,baetis,1,10/17/2016,397,100,1.15
mill_cr,abv_mineral_cr,MILaM,insecta,ephemeroptera,baetidae,baetis,8,10/17/2016,790,6.25,1.15
mineral_cr,abv_browns_gulch,,insecta,ephemeroptera,baetidae,baetis,3,10/17/2016,576,18.75,1.15
mineral_cr,abv_mf_mineral,MaMFM,insecta,ephemeroptera,baetidae,baetis,1,10/14/2016,120,100,1.15
sf_mineral_cr,blw_cg_blw_clear_lake_cr,,insecta,ephemeroptera,baetidae,baetis,4,10/13/2016,285,100,1.15
sf_mineral_cr,abv_mineral_cr,SFMaM,insecta,ephemeroptera,baetidae,baetis,4,10/13/2016,510,100,1.15
bear_cr,abv_mineral_cr,BEaM,insecta,ephemeroptera,baetidae,baetis,1,10/12/2016,531,18.75,1.15
picayne_gulch,abv_animas,PICaA,insecta,ephemeroptera,baetidae,baetis,8,10/5/2016,557,7.815,1.15
sf_animas,abv_avalanche,SFAaAV,insecta,ephemeroptera,baetidae,baetis,2,10/8/2016,673,12.5,1.15
eureka_gulch,abv_sf_animas,EUaSFA,insecta,ephemeroptera,baetidae,baetis,1,10/6/2016,547,88,1.15
sf_animas,abv_animas,SFAaA,insecta,ephemeroptera,baetidae,baetis,4,10/6/2016,539,37.5,1.15
maggie_gulch,abv_animas,MAGaA,insecta,ephemeroptera,baetidae,baetis,6,10/4/2016,747,6.25,1.15
animas,abv_cunningham,AaCU,insecta,ephemeroptera,baetidae,baetis,10,10/4/2016,509,18.75,1.15
picayne_gulch,abv_animas,,insecta,ephemeroptera,baetidae,baetis,4,10/4/2016,602,12.5,1.15
animas,abv_arrastra_cr,AaARR,insecta,ephemeroptera,baetidae,baetis,16,10/2/2016,507,25,1.15
hermosa_cr,abv_ditch,HERaD,insecta,ephemeroptera,baetidae,baetis,230,9/30/2016,557,31.5,1.15
mineral_cr,abv_mill_cr,MaMIL,insecta,diptera,ceratopogonidae,bezzia_palpomyia,24,10/17/2016,397,100,1.15
mineral_cr,abv_browns_gulch,,insecta,diptera,ceratopogonidae,bezzia_palpomyia,2,10/17/2016,576,18.75,1.15
mineral_cr,abv_mf_mineral,MaMFM,insecta,diptera,ceratopogonidae,bezzia_palpomyia,2,10/14/2016,120,100,1.15
mf_mineral_cr,abv_mineral_cr,MFMaM,insecta,diptera,ceratopogonidae,bezzia_palpomyia,1,10/14/2016,47,100,1.15
mineral_cr,abv_sf_mineral,MaSFM,insecta,diptera,ceratopogonidae,bezzia_palpomyia,2,10/13/2016,90,100,1.15
sf_mineral_cr,blw_cg_blw_clear_lake_cr,,insecta,diptera,ceratopogonidae,bezzia_palpomyia,4,10/13/2016,285,100,1.15
sf_mineral_cr,abv_mineral_cr,SFMaM,insecta,diptera,ceratopogonidae,bezzia_palpomyia,13,10/13/2016,510,100,1.15
mineral_cr,abv_animas,MaA,insecta,diptera,ceratopogonidae,bezzia_palpomyia,7,10/12/2016,180,100,1.15
eureka_gulch,abv_sf_animas,EUaSFA,insecta,diptera,ceratopogonidae,bezzia_palpomyia,1,10/6/2016,547,88,1.15
sf_animas,abv_animas,SFAaA,insecta,diptera,ceratopogonidae,bezzia_palpomyia,2,10/6/2016,539,37.5,1.15
animas,abv_minnie,AaMINN,insecta,diptera,ceratopogonidae,bezzia_palpomyia,19,10/11/2016,503,87.5,1.15
maggie_gulch,abv_animas,MAGaA,insecta,diptera,ceratopogonidae,bezzia_palpomyia,2,10/4/2016,747,6.25,1.15
animas,abv_cunningham,AaCU,insecta,diptera,ceratopogonidae,bezzia_palpomyia,23,10/4/2016,509,18.75,1.15
picayne_gulch,abv_animas,,insecta,diptera,ceratopogonidae,bezzia_palpomyia,1,10/4/2016,602,12.5,1.15
animas,abv_arrastra_cr,AaARR,insecta,diptera,ceratopogonidae,bezzia_palpomyia,4,10/2/2016,507,25,1.15
mineral_cr,abv_mill_cr,MaMIL,insecta,trichoptera,brachycentridae,brachycentrus,1,10/17/2016,397,100,1.15
mineral_cr,abv_browns_gulch,,insecta,trichoptera,brachycentridae,brachycentrus,1,10/17/2016,576,18.75,1.15
nf_animas,abv_burrow_cr,NFAaBU,insecta,diptera,chironomidae,brilla,2,10/7/2016,532,37.5,1.15
sf_animas,abv_avalanche,SFAaAV,insecta,diptera,chironomidae,brilla,1,10/8/2016,673,12.5,1.15
sf_animas,abv_eureka_gulch,SFAaEU,insecta,diptera,chironomidae,brilla,6,10/8/2016,501,75,1.15
sf_animas,abv_animas,SFAaA,insecta,diptera,chironomidae,brilla,2,10/6/2016,539,37.5,1.15
maggie_gulch,abv_animas,MAGaA,insecta,diptera,chironomidae,brilla,2,10/4/2016,747,6.25,1.15
mineral_cr,abv_mill_cr,MaMIL,insecta,diptera,chironomidae,brillia,3,10/17/2016,397,100,1.15
mill_cr,abv_mineral_cr,MILaM,insecta,diptera,chironomidae,brillia,1,10/17/2016,790,6.25,1.15
mf_mineral_cr,abv_mineral_cr,MFMaM,insecta,diptera,chironomidae,brillia,3,10/14/2016,47,100,1.15
mineral_cr,abv_sf_mineral,MaSFM,insecta,diptera,chironomidae,brillia,6,10/13/2016,90,100,1.15
sf_mineral_cr,blw_cg_blw_clear_lake_cr,,insecta,diptera,chironomidae,brillia,2,10/13/2016,285,100,1.15
bear_cr,abv_mineral_cr,BEaM,insecta,diptera,chironomidae,brillia,3,10/12/2016,531,18.75,1.15
mineral_cr,abv_animas,MaA,insecta,diptera,chironomidae,brillia,1,10/12/2016,180,100,1.15
mill_cr,abv_mineral_cr,MILaM,insecta,plecoptera,capniidae,capnia,10,10/17/2016,790,6.25,1.15
mineral_cr,abv_browns_gulch,,insecta,plecoptera,capniidae,capnia,2,10/17/2016,576,18.75,1.15
mineral_cr,abv_mf_mineral,MaMFM,insecta,plecoptera,capniidae,capnia,1,10/14/2016,120,100,1.15
mf_mineral_cr,abv_mineral_cr,MFMaM,insecta,plecoptera,capniidae,capnia,1,10/14/2016,47,100,1.15
sf_mineral_cr,blw_cg_blw_clear_lake_cr,,insecta,plecoptera,capniidae,capnia,4,10/13/2016,285,100,1.15
sf_mineral_cr,abv_mineral_cr,SFMaM,insecta,plecoptera,capniidae,capnia,1,10/13/2016,510,100,1.15
nf_animas,abv_wf_animas,NFAaWFA,insecta,plecoptera,capniidae,capnia,1,10/7/2016,12,100,1.15
wf_animas,abv_placer_gulch,WFAaPL,insecta,plecoptera,capniidae,capnia,11,10/10/2016,40,100,1.15
wf_animas,abv_animas,WFAaA,insecta,plecoptera,capniidae,capnia,3,10/7/2016,12,100,1.15
sf_animas,abv_avalanche,SFAaAV,insecta,plecoptera,capniidae,capnia,27,10/8/2016,673,12.5,1.15
picayne_gulch,abv_animas,,insecta,plecoptera,capniidae,capnia,1,10/4/2016,602,12.5,1.15
burrow_cr,abv_nf_animas,BUaNFA,insecta,plecoptera,capniidae,capniidae,2,10/7/2016,509,43.75,1.15
animas,abv_cunningham,AaCU,insecta,plecoptera,capniidae,capniidae,6,10/4/2016,509,18.75,1.15
animas,abv_arrastra_cr,AaARR,insecta,plecoptera,capniidae,capniidae,13,10/2/2016,507,25,1.15
mineral_cr,abv_mill_cr,MaMIL,insecta,diptera,chironomidae,chaetocladius,7,10/17/2016,397,100,1.15
mill_cr,abv_mineral_cr,MILaM,insecta,diptera,chironomidae,chaetocladius,2,10/17/2016,790,6.25,1.15
mineral_cr,abv_mf_mineral,MaMFM,insecta,diptera,chironomidae,chaetocladius,1,10/14/2016,120,100,1.15
mf_mineral_cr,abv_mineral_cr,MFMaM,insecta,diptera,chironomidae,chaetocladius,22,10/14/2016,47,100,1.15
mineral_cr,abv_sf_mineral,MaSFM,insecta,diptera,chironomidae,chaetocladius,51,10/13/2016,90,100,1.15
