taxa,Kingdom,Phylum,Class,Order,Family,Genus
Acari,Animalia,Arthropoda,Arachnida,Trombidiformes,,
Ameletopsis,Animalia,Arthropoda,Insecta,Ephemeroptera,Ameletopsidae,Ameletopsis
Aoteapsyche,Animalia,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Aoteapsyche
Aphrophila,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Aphrophila
Archichauliodes,Animalia,Arthropoda,Insecta,Megaloptera,Corydalidae,Archichauliodes
Austroclima,Animalia,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Austroclima
Austroperla,Animalia,Arthropoda,Insecta,Plecoptera,Austroperlidae,Austroperla
Austrosimulium,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Austrosimulium
Beraeoptera,Animalia,Arthropoda,Insecta,Trichoptera,Conoesucidae,Beraeoptera
Blephariceridae,Animalia,Arthropoda,Insecta,Diptera,Blephariceridae,
Ceratopogonidae,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,
Chironominae,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,
Coloburiscus,Animalia,Arthropoda,Insecta,Ephemeroptera,Coloburiscidae,Coloburiscus
Copepoda,Animalia,Arthropoda,Copepoda,,,
Costachorema,Animalia,Arthropoda,Insecta,Trichoptera,Hydrobiosidae,Costachorema
Cristaperla,Animalia,Arthropoda,Insecta,Plecoptera,Notonemouridae,
Deleatidium,Animalia,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Deleatidium
Diamesinae,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,
Diptera,Animalia,Arthropoda,Insecta,Diptera,,
Dixidae,Animalia,Arthropoda,Insecta,Diptera,Dixidae,
Dytiscidae,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,
Elmidae,Animalia,Arthropoda,Insecta,Coleoptera,Elmidae,
Empididae,Animalia,Arthropoda,Insecta,Diptera,Empididae,
Ephemeroptera,Animalia,Arthropoda,Insecta,Ephemeroptera,,
Eriopterini,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,
Eukiefferiella,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Eukiefferiella
Gyrinidae,Animalia,Arthropoda,Insecta,Coleoptera,Gyrinidae,
Helicopsyche,Animalia,Arthropoda,Insecta,Trichoptera,Helicopsychidae,Helicopsyche
Hexatomini,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,
Hydraenidae,Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,
Hydrobiosella,Animalia,Arthropoda,Insecta,Trichoptera,Philopotamidae,Hydrobiosella
Hydrobiosis,Animalia,Arthropoda,Insecta,Trichoptera,Hydrobiosidae,Hydrobiosis
Hydrochorema,Animalia,Arthropoda,Insecta,Trichoptera,Hydrobiosidae,Hydrochorema
Hydrophilidae,Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,
Leptophlebiidae,Animalia,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,
Limonia,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Limonia
Nesameletus,Animalia,Arthropoda,Insecta,Ephemeroptera,Nesameletidae,
Oligochaetae,Animalia,Annelida,Clitellata,,,
Olinga,Animalia,Arthropoda,Insecta,Trichoptera,Conoesucidae,
Onychohydrus,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Onychohydrus
Orthocladiinae,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,
Ostracoda,Animalia,Arthropoda,Ostracoda,,,
Oxyethira,Animalia,Arthropoda,Insecta,Trichoptera,Hydroptilidae,
Paraleptamphopus,Animalia,Arthropoda,Malacostraca,Amphipoda,Paraleptamphopidae,Paraleptamphopus
Paralimnophila,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,
Platyhelminthes,Animalia,Platyhelminthes,,,,
Plecoptera,Animalia,Arthropoda,Insecta,Plecoptera,,
Potamopyrgus,Animalia,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Potamopyrgus
Psilochorema,Animalia,Arthropoda,Insecta,Trichoptera,Hydrobiosidae,Psilochorema
Pycnocentrella,Animalia,Arthropoda,Insecta,Trichoptera,Helicophidae,Pycnocentrella
Pycnocentria,Animalia,Arthropoda,Insecta,Trichoptera,Conoesucidae,Pycnocentria
Pycnocentrodes,Animalia,Arthropoda,Insecta,Trichoptera,Conoesucidae,Pycnocentrodes
Rakiura,Animalia,Arthropoda,Insecta,Trichoptera,Helicopsychidae,Rakiura
Scirtidae,Animalia,Arthropoda,Insecta,Coleoptera,Scirtidae,
Spaniocerca,Animalia,Arthropoda,Insecta,Plecoptera,Notonemouridae,Spaniocerca
Spaniocercoides,Animalia,Arthropoda,Insecta,Plecoptera,Notonemouridae,Spaniocercoides
Stenoperla,Animalia,Arthropoda,Insecta,Plecoptera,Eustheniidae,Stenoperla
Tanypodinae,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,
Taraperla,Animalia,Arthropoda,Insecta,Plecoptera,Gripopterygidae,Taraperla
Tipulidae,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,
Zelandobius,Animalia,Arthropoda,Insecta,Plecoptera,Gripopterygidae,Zelandobius
Zelandoperla,Animalia,Arthropoda,Insecta,Plecoptera,Gripopterygidae,Zelandoperla
Zelolessica,Animalia,Arthropoda,Insecta,Trichoptera,Helicophidae,
Zephlebia,Animalia,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,
